flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
BT 906,Vilnius,Air Baltic Corporation,21:35,,2025-07-14
AY 1032,Helsingi,Finnair,22:35,,2025-07-14
BT 843,Tirana,Air Baltic Corporation,23:25,,2025-07-14
U5 7103,Sharm El Sheikh,SkyUp MT,,,2025-01-20
BT 362,Riia,Air Baltic Corporation,05:30,,2025-01-20
LO 792,Varssavi,LOT - Polish Airlines,05:45,,2025-01-20
AY 1036,Helsingi,Finnair,06:00,,2025-01-20
LX 1317,Zürich,Swiss,06:05,,2025-01-20
LH 885,Frankfurt,Deutsche Lufthansa,06:25,,2025-01-20
BT 851,Brüssel,Air Baltic Corporation,06:45,,2025-01-20
BT 904,Vilnius,Air Baltic Corporation,07:00,,2025-01-20
SK 1783,Stockholm,Scandinavian Airlines System (SAS),07:00,,2025-01-20
BT 811,Kopenhaagen,Air Baltic Corporation,07:30,,2025-01-20
OJ 223,Kärdla,Nyxair,07:30,,2025-01-20
BT 857,Amsterdam,Air Baltic Corporation,07:35,,2025-01-20
OJ 201,Kuressaare,Nyxair,07:40,,2025-01-20
AY 1012,Helsingi,Finnair,08:25,,2025-01-20
BT 312,Riia,Air Baltic Corporation,08:55,,2025-01-20
FR 2733,Berliin,Ryanair,10:25,,2025-01-20
AY 1014,Helsingi,Finnair,10:35,,2025-01-20
BT 881,Tenerife,Air Baltic Corporation,10:40,,2025-01-20
FR 5694,Dublin,Ryanair,11:50,,2025-01-20
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,,2025-01-20
TK 1422,Istanbul,Turkish Airlines,12:20,,2025-01-20
LH 881,Frankfurt,Deutsche Lufthansa,13:45,,2025-01-20
BT 316,Riia,Air Baltic Corporation,13:50,,2025-01-20
LO 786,Varssavi,LOT - Polish Airlines,14:05,,2025-01-20
AY 1020,Helsingi,Finnair,14:40,,2025-01-20
AY 1022,Helsingi,Finnair,15:35,,2025-01-20
BT 861,Pariis,Air Baltic Corporation,15:55,,2025-01-20
SK 1745,Stockholm,Scandinavian Airlines System (SAS),16:35,,2025-01-20
AY 1024,Helsingi,Finnair,16:35,,2025-01-20
OJ 225,Kärdla,Nyxair,17:00,,2025-01-20
BT 859,Amsterdam,Air Baltic Corporation,17:05,,2025-01-20
FR 736,Viin,Ryanair,17:10,,2025-01-20
AY 1026,Helsingi,Finnair,17:20,,2025-01-20
LH 883,Frankfurt,Deutsche Lufthansa,18:05,,2025-01-20
LO 788,Varssavi,LOT - Polish Airlines,18:20,,2025-01-20
OJ 207,Kuressaare,Nyxair,18:30,,2025-01-20
FR 4623,Stockholm,Ryanair,18:50,,2025-01-20
TK 1424,Istanbul,Turkish Airlines,18:55,,2025-01-20
FR 8903,Milano,Ryanair,20:35,,2025-01-20
FR 9641,Paphos,Ryanair,20:45,,2025-01-20
BT 318,Riia,Air Baltic Corporation,21:25,,2025-01-20
AY 1028,Helsingi,Finnair,21:30,,2025-01-20
W9 5446,London,Wizz Air UK,21:45,,2025-01-20
AY 1032,Helsingi,Finnair,22:20,,2025-01-20
XQ 497,Antalya,SunExpress - Günes Ekspres Havacilik,,,2025-06-09
FH 732,Antalya,Freebird Airlines,04:40,,2025-06-09
BT 362,Riia,Air Baltic Corporation,05:40,,2025-06-09
LO 792,Varssavi,LOT - Polish Airlines,05:45,,2025-06-09
LH 885,Frankfurt,Deutsche Lufthansa,06:00,,2025-06-09
AY 1036,Helsingi,Finnair,06:00,,2025-06-09
LX 1317,Zürich,Swiss,06:00,,2025-06-09
SK 1791,Kopenhaagen,Scandinavian Airlines System (SAS),06:20,,2025-06-09
SK 1771,Stockholm,Scandinavian Airlines System (SAS),07:00,,2025-06-09
BT 902,Vilnius,Air Baltic Corporation,07:00,,2025-06-09
BT 885,Rhodos,Air Baltic Corporation,07:10,,2025-06-09
BT 851,Brüssel,Air Baltic Corporation,07:20,,2025-06-09
BT 857,Amsterdam,Air Baltic Corporation,07:30,,2025-06-09
OJ 223,Kärdla,Nyxair,07:30,,2025-06-09
OJ 201,Kuressaare,Nyxair,07:40,,2025-06-09
AY 1012,Helsingi,Finnair,08:00,,2025-06-09
BT 312,Riia,Air Baltic Corporation,09:05,,2025-06-09
AY 1014,Helsingi,Finnair,10:00,,2025-06-09
SK 749,Stockholm,Scandinavian Airlines System (SAS),10:30,,2025-06-09
HN 3411,Tivat,Heston Airlines,10:30,,2025-06-09
AY 1016,Helsingi,Finnair,11:35,,2025-06-09
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,,2025-06-09
TK 1422,Istanbul,Turkish Airlines,12:35,,2025-06-09
AY 1018,Helsingi,Finnair,12:55,,2025-06-09
E4 563,Linz,Enter Air,13:00,,2025-06-09
BT 316,Riia,Air Baltic Corporation,13:55,,2025-06-09
BT 859,Amsterdam,Air Baltic Corporation,14:05,,2025-06-09
LO 786,Varssavi,LOT - Polish Airlines,14:20,,2025-06-09
LH 881,Frankfurt,Deutsche Lufthansa,14:30,,2025-06-09
AY 1020,Helsingi,Finnair,14:55,,2025-06-09
FR 2733,Berliin,Ryanair,15:10,,2025-06-09
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,,2025-06-09
SK 1745,Stockholm,Scandinavian Airlines System (SAS),16:35,,2025-06-09
AY 1022,Helsingi,Finnair,16:35,,2025-06-09
BT 821,Berliin,Air Baltic Corporation,16:35,,2025-06-09
BT 861,Pariis,Air Baltic Corporation,16:55,,2025-06-09
OJ 225,Kärdla,Nyxair,17:00,,2025-06-09
BT 823,München,Air Baltic Corporation,17:15,,2025-06-09
AY 1024,Helsingi,Finnair,17:20,,2025-06-09
FR 4623,Stockholm,Ryanair,17:45,,2025-06-09
LO 788,Varssavi,LOT - Polish Airlines,18:30,,2025-06-09
OJ 207,Kuressaare,Nyxair,18:30,,2025-06-09
LH 883,Frankfurt,Deutsche Lufthansa,18:55,,2025-06-09
LH 2405,München,Deutsche Lufthansa,19:10,,2025-06-09
TK 1424,Istanbul,Turkish Airlines,19:35,,2025-06-09
E4 564,Linz,Enter Air,19:40,,2025-06-09
SK 1749,Stockholm,Scandinavian Airlines System (SAS),20:00,,2025-06-09
TO 7409,Pariis,Transavia France,20:05,,2025-06-09
AY 1028,Helsingi,Finnair,20:10,,2025-06-09
BT 809,Kopenhaagen,Air Baltic Corporation,20:35,,2025-06-09
W9 5446,London,Wizz Air UK,21:10,,2025-06-09
BT 318,Riia,Air Baltic Corporation,21:25,,2025-06-09
BT 906,Vilnius,Air Baltic Corporation,21:35,,2025-06-09
AY 1032,Helsingi,Finnair,22:20,,2025-06-09
BT 843,Tirana,Air Baltic Corporation,23:25,,2025-06-09
XQ 497,Antalya,SunExpress - Günes Ekspres Havacilik,04:25,,2024-09-14
CAI 528,Antalya,Corendon Airlines,04:35,,2024-09-14
STM 3461,Antalya,Skystream Airlines,05:30,,2024-09-14
BT 362,Riia,Air Baltic Corporation,05:35,,2024-09-14
LO 792,Varssavi,LOT - Polish Airlines,05:45,,2024-09-14
AY 1036,Helsingi,Finnair,06:00,,2024-09-14
LH 885,Frankfurt,Deutsche Lufthansa,06:10,,2024-09-14
SK 1783,Stockholm,Scandinavian Airlines System (SAS),06:25,,2024-09-14
AY 1012,Helsingi,Finnair,06:55,,2024-09-14
BT 847,Dubrovnik,Air Baltic Corporation,07:20,,2024-09-14
BT 823,München,Air Baltic Corporation,07:20,,2024-09-14
BT 857,Amsterdam,Air Baltic Corporation,07:30,,2024-09-14
SK 1771,Stockholm,Scandinavian Airlines System (SAS),08:30,,2024-09-14
BT 312,Riia,Air Baltic Corporation,09:10,,2024-09-14
OJ 223,Kärdla,Nyxair,09:15,,2024-09-14
FR 736,Viin,Ryanair,09:45,,2024-09-14
AY 1014,Helsingi,Finnair,09:55,,2024-09-14
OJ 201,Kuressaare,Nyxair,10:05,,2024-09-14
AY 1016,Helsingi,Finnair,11:45,,2024-09-14
DY 1061,Oslo,Norwegian Air Shuttle AOC,12:10,,2024-09-14
AY 1018,Helsingi,Finnair,12:55,,2024-09-14
FR 5694,Dublin,Ryanair,13:25,,2024-09-14
BT 879,Malaga,Air Baltic Corporation,13:35,,2024-09-14
LH 881,Frankfurt,Deutsche Lufthansa,13:45,,2024-09-14
LO 786,Varssavi,LOT - Polish Airlines,14:20,,2024-09-14
SK 1745,Stockholm,Scandinavian Airlines System (SAS),14:30,,2024-09-14
AY 1020,Helsingi,Finnair,14:55,,2024-09-14
4M 940,Bodrum,Mavi Gök Airlines (MGA),15:00,,2024-09-14
BT 314,Riia,Air Baltic Corporation,15:20,,2024-09-14
BT 811,Kopenhaagen,Air Baltic Corporation,15:20,,2024-09-14
HN 3471,Heraklion,Heston Airlines,15:35,,2024-09-14
BT 871,London,Air Baltic Corporation,15:55,,2024-09-14
AY 1022,Helsingi,Finnair,16:35,,2024-09-14
AY 1024,Helsingi,Finnair,17:20,,2024-09-14
FR 4623,Stockholm,Ryanair,17:30,,2024-09-14
BT 845,Burgas,Air Baltic Corporation,18:10,,2024-09-14
LO 788,Varssavi,LOT - Polish Airlines,18:30,,2024-09-14
LH 2405,München,Deutsche Lufthansa,19:05,,2024-09-14
TK 1424,Istanbul,Turkish Airlines,19:40,,2024-09-14
FR 330,Veneetsia-Treviso,Ryanair,20:10,,2024-09-14
BT 889,Malta,Air Baltic Corporation,21:00,,2024-09-14
BT 318,Riia,Air Baltic Corporation,21:40,,2024-09-14
AY 1032,Helsingi,Finnair,22:20,,2024-09-14
